"Type","TG3ID","TherapeuticGrp3","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2020,"925","122",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2020,"2335","270",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2020,"4993","793",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2020,"131568","17947",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2021,"2475","286",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2021,"5551","964",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2021,"5991","1038",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2021,"4939","974",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2021,"3520","536",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2021,"10325","1627",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2021,"3195","451",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2021,"21643","3087",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2021,"10599","1775",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2021,"10669","1592",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2021,"14757","2451",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2021,"1687","259",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2021,"4189","582",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2021,"5884","904",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2021,"2315","290",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2021,"10528","1652",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2021,"3570","569",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2021,"958","147",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2021,"1449","264",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2021,"1532","268",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2021,"125776","19716",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2022,"10857","1652",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2022,"16137","2789",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2022,"11335","1783",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2022,"4217","590",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2022,"7377","1133",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2022,"6357","1150",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2022,"3731","549",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2022,"6204","995",100
