"Type","ChemID","Chemical","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Dispensings","3731","Abacavir sulphate","Southern",2022,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","Wairarapa",2022,"8","<6",100
"Dispensings","3731","Abacavir sulphate","Capital & Coast",2022,"6","<6",100
"Dispensings","3731","Abacavir sulphate","New Zealand",2022,"301","42",100
"Dispensings","3731","Abacavir sulphate","Auckland",2023,"53","9",100
"Dispensings","3731","Abacavir sulphate","Wairarapa",2023,"6","<6",100
"Dispensings","3731","Abacavir sulphate","Lakes",2023,"17","<6",100
"Dispensings","3731","Abacavir sulphate","Counties Manukau",2023,"37","<6",100
"Dispensings","3731","Abacavir sulphate","MidCentral",2023,"10","<6",100
"Dispensings","3731","Abacavir sulphate","Canterbury",2023,"75","9",100
"Dispensings","3731","Abacavir sulphate","Hawke's Bay",2023,"18","<6",100
"Dispensings","3731","Abacavir sulphate","Waikato",2023,"9","<6",100
"Dispensings","3731","Abacavir sulphate","Waitemata",2023,"22","<6",100
"Dispensings","3731","Abacavir sulphate","West Coast",2023,"13","<6",100
"Dispensings","3731","Abacavir sulphate","Southern",2023,"8","<6",100
"Dispensings","3731","Abacavir sulphate","New Zealand",2023,"268","39",100
"Dispensings","3731","Abacavir sulphate","Waikato",2024,"7","<6",100
"Dispensings","3731","Abacavir sulphate","Hawke's Bay",2024,"21","<6",100
"Dispensings","3731","Abacavir sulphate","Canterbury",2024,"91","10",100
"Dispensings","3731","Abacavir sulphate","Southern",2024,"19","<6",100
"Dispensings","3731","Abacavir sulphate","Auckland",2024,"21","<6",100
"Dispensings","3731","Abacavir sulphate","Waitemata",2024,"25","<6",100
"Dispensings","3731","Abacavir sulphate","Counties Manukau",2024,"39","<6",100
"Dispensings","3731","Abacavir sulphate","West Coast",2024,"11","<6",100
"Dispensings","3731","Abacavir sulphate","MidCentral",2024,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","Capital & Coast",2024,"8","<6",100
"Dispensings","3731","Abacavir sulphate","Lakes",2024,"12","<6",100
"Dispensings","3731","Abacavir sulphate","New Zealand",2024,"258","37",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2020,"105","29",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2020,"271","72",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2020,"222","59",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2020,"239","65",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2020,"465","132",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2020,"20","6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2020,"6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2020,"157","45",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2020,"98","28",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Southern",2020,"114","34",100
