STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DEP_001,New Zealand index of socioeconomic deprivation,CEN23_ETH_006,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,204,Taranaki,999,Total - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,126174,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,304,Wairarapa,777,Total stated - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,49599,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,403,South Canterbury,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,5613,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,404,Southern,10,10 - Most deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,13284,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,204,Taranaki,04,4,9999,Total - ethnicity,99,Total - age,99,Total - gender,10779,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,100,Northland,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,4431,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,401,West Coast,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,963,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,402,Canterbury,05,5,9999,Total - ethnicity,99,Total - age,99,Total - gender,57099,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,203,Tairāwhiti,08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,8070,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,30,Central Region,05,5,9999,Total - ethnicity,99,Total - age,99,Total - gender,89892,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,203,Tairāwhiti,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,6966,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,99999,Total - New Zealand by health region/health district,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,513411,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,10,Northern Region,02,2,9999,Total - ethnicity,99,Total - age,99,Total - gender,182529,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,404,Southern,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,44553,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,304,Wairarapa,06,6,9999,Total - ethnicity,99,Total - age,99,Total - gender,5667,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,402,Canterbury,777,Total stated - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,588879,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,90,Area outside health region,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,6,,,
